"","X.gf_id","X.species","X.genes","ach","ahy","ath","bvu","cqu","ccan","dca"
"1","HOM04D002329",54,139,3,1,2,1,1,3,2
"2","HOM04D002655",50,125,2,1,1,1,1,2,2
"3","HOM04D002867",45,115,2,1,2,1,1,2,3
"4","HOM04D003117",55,106,2,1,2,1,1,2,2
"6","HOM04D003341",54,99,1,1,2,1,1,1,2
"7","HOM04D003343",50,99,2,1,2,1,1,1,2
"8","HOM04D003355",48,98,3,1,3,1,1,1,2
"9","HOM04D003375",45,98,1,1,2,1,1,1,2
"10","HOM04D003397",49,97,2,1,2,1,1,1,3
"11","HOM04D003407",53,97,3,1,1,1,1,1,2
"12","HOM04D003545",49,94,1,1,1,1,1,2,2
"13","HOM04D003556",50,94,2,1,2,1,1,1,2
"14","HOM04D003589",52,93,2,1,2,1,1,1,1
"15","HOM04D003663",51,92,3,1,1,1,1,1,2
"16","HOM04D003678",54,92,1,1,1,1,1,1,1
"17","HOM04D003685",52,91,1,1,1,1,1,1,1
"18","HOM04D003686",55,91,2,1,1,1,1,1,2
"19","HOM04D003712",53,91,1,1,1,1,1,1,1
"20","HOM04D003844",47,88,2,1,2,1,1,1,1
"21","HOM04D003892",54,88,2,1,1,1,1,1,1
"22","HOM04D004057",54,85,1,1,2,1,1,1,1
"23","HOM04D004092",46,85,1,1,3,1,1,1,2
"25","HOM04D004161",53,84,2,1,1,1,1,1,2
"26","HOM04D004235",52,83,1,1,1,1,1,1,2
"27","HOM04D004240",52,83,3,1,2,1,1,1,1
"29","HOM04D004300",53,82,1,1,2,1,1,1,2
"30","HOM04D004325",54,82,2,1,2,1,1,2,2
"31","HOM04D004327",54,81,1,1,1,1,1,1,1
"34","HOM04D004407",49,80,3,1,1,1,1,1,2
"36","HOM04D004460",51,80,3,1,1,1,1,1,2
"37","HOM04D004472",51,80,1,1,1,1,1,1,1
"38","HOM04D004581",50,79,2,1,1,1,1,1,1
"39","HOM04D004609",54,78,2,1,1,1,1,1,1
"40","HOM04D004642",51,78,2,1,1,1,1,1,1
"41","HOM04D004668",55,77,2,1,2,1,1,1,1
"43","HOM04D004701",48,77,2,1,2,1,1,1,1
"44","HOM04D004762",50,76,1,1,1,1,1,1,1
"45","HOM04D004766",52,76,2,1,2,1,1,1,2
"46","HOM04D004819",50,76,2,1,1,1,1,1,1
"49","HOM04D004969",49,75,2,1,1,1,1,1,2
