#gf_id	#species	#genes	ach	ahy	ath	bvu	cqu	ccan	dca
HOM04D002329	54	139	3	1	2	1	1	3	2
HOM04D002655	50	125	2	1	1	1	1	2	2
HOM04D002867	45	115	2	1	2	1	1	2	3
HOM04D003117	55	106	2	1	2	1	1	2	2
HOM04D003273	50	101	0	1	1	1	1	1	2
HOM04D003341	54	99	1	1	2	1	1	1	2
HOM04D003343	50	99	2	1	2	1	1	1	2
HOM04D003355	48	98	3	1	3	1	1	1	2
HOM04D003375	45	98	1	1	2	1	1	1	2
HOM04D003397	49	97	2	1	2	1	1	1	3
HOM04D003407	53	97	3	1	1	1	1	1	2
HOM04D003545	49	94	1	1	1	1	1	2	2
HOM04D003556	50	94	2	1	2	1	1	1	2
HOM04D003589	52	93	2	1	2	1	1	1	1
HOM04D003663	51	92	3	1	1	1	1	1	2
HOM04D003678	54	92	1	1	1	1	1	1	1
HOM04D003685	52	91	1	1	1	1	1	1	1
HOM04D003686	55	91	2	1	1	1	1	1	2
HOM04D003712	53	91	1	1	1	1	1	1	1
HOM04D003844	47	88	2	1	2	1	1	1	1
HOM04D003892	54	88	2	1	1	1	1	1	1
HOM04D004057	54	85	1	1	2	1	1	1	1
HOM04D004092	46	85	1	1	3	1	1	1	2
HOM04D004147	53	84	0	1	2	1	1	1	1
HOM04D004161	53	84	2	1	1	1	1	1	2
HOM04D004235	52	83	1	1	1	1	1	1	2
HOM04D004240	52	83	3	1	2	1	1	1	1
HOM04D004245	50	82	0	1	2	1	1	1	1
HOM04D004300	53	82	1	1	2	1	1	1	2
HOM04D004325	54	82	2	1	2	1	1	2	2
HOM04D004327	54	81	1	1	1	1	1	1	1
HOM04D004355	48	81	0	1	2	1	1	0	1
HOM04D004356	47	81	2	1	2	1	1	3	0
HOM04D004407	49	80	3	1	1	1	1	1	2
HOM04D004417	41	80	0	1	1	1	1	1	2
HOM04D004460	51	80	3	1	1	1	1	1	2
HOM04D004472	51	80	1	1	1	1	1	1	1
HOM04D004581	50	79	2	1	1	1	1	1	1
HOM04D004609	54	78	2	1	1	1	1	1	1
HOM04D004642	51	78	2	1	1	1	1	1	1
HOM04D004668	55	77	2	1	2	1	1	1	1
HOM04D004686	50	77	0	1	1	1	1	1	1
HOM04D004701	48	77	2	1	2	1	1	1	1
HOM04D004762	50	76	1	1	1	1	1	1	1
HOM04D004766	52	76	2	1	2	1	1	1	2
HOM04D004819	50	76	2	1	1	1	1	1	1
HOM04D004836	47	76	2	1	1	1	1	0	1
HOM04D004906	51	75	2	1	1	1	1	1	0
HOM04D004969	49	75	2	1	1	1	1	1	2
HOM04D004971	52	75	1	1	2	1	1	1	1
HOM04D005022	55	74	1	1	1	1	1	1	1
HOM04D005027	54	74	1	1	1	1	1	1	1
HOM04D005061	53	74	0	1	2	1	1	1	1
HOM04D005115	50	73	1	1	1	1	1	2	1
HOM04D005144	53	73	1	1	1	1	1	1	2
HOM04D005184	49	72	0	1	1	1	1	1	1
HOM04D005234	51	72	1	1	2	1	1	1	1
HOM04D005244	52	72	2	1	1	1	1	1	2
HOM04D005331	52	71	1	1	1	1	1	0	2
HOM04D005404	48	71	1	1	3	1	1	1	1
HOM04D005411	53	71	1	1	1	1	1	1	1
HOM04D005453	54	70	2	1	1	1	1	1	2
HOM04D005518	52	70	3	1	1	1	1	1	1
HOM04D005540	50	70	1	1	1	1	1	1	0
HOM04D005547	48	70	0	1	1	1	1	1	1
HOM04D005581	53	69	0	1	1	1	1	1	1
HOM04D005589	54	69	1	1	1	1	1	2	1
HOM04D005590	51	69	1	1	1	1	1	1	0
